alarm_date,cont_date,gis_acres,cause_name,cause_category,subregion_id,subregion_name,subregion_area,road_distance,urban_distance,veg_level,build_density,pop_density
1980-07-28T00:00:00Z,NA,252.90881,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,7.2,9.1,0.1009,0.8313,226.3136
1980-07-28T00:00:00Z,NA,1733.9094,Unknown / Unidentified,Other,5,Central Valley,74899.613,3.1,8.2,0.5702,0.1373,25.1206
1980-07-28T00:00:00Z,NA,359.43777,Unknown / Unidentified,Other,5,Central Valley,74899.613,9.9,18.9,0.4787,0.1671,33.9824
1980-07-28T00:00:00Z,NA,85.860458,Unknown / Unidentified,Other,5,Central Valley,74899.613,7.5,16.5,0.4891,0.1684,34.8164
1980-07-28T00:00:00Z,NA,336.65182,Unknown / Unidentified,Other,5,Central Valley,74899.613,5.2,12.5,0.7013,0.4803,207.765
1980-07-28T00:00:00Z,1980-07-30T00:00:00Z,1074.5046,Lightning,Natural,5,Central Valley,74899.613,9.7,26.5,0.3978,0.1718,27.4732
1980-07-29T00:00:00Z,NA,847.97467,Unknown / Unidentified,Other,5,Central Valley,74899.613,1.5,3.5,0.7583,0.5831,274.8427
1980-07-30T00:00:00Z,NA,1830.1322,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,2.5,4.9,0.8236,0.3621,129.6756
1980-07-30T00:00:00Z,NA,440.53149,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0,0,0.0398,1.0504,463.3594
1980-07-30T00:00:00Z,NA,244.55083,Unknown / Unidentified,Other,8,South Interior,103810.781,4.9,6.2,0.2885,0.4497,121.8375
1980-07-30T00:00:00Z,1980-07-30T00:00:00Z,2.9873402,Arson,Human,1,North Coast and Montane,64191.163,11.7,61.8,3.0236,0.0237,2.1468
1980-07-31T00:00:00Z,NA,246.27812,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,7.5,7.2,0.1511,0.1613,42.9559
1980-08-01T00:00:00Z,1980-08-02T00:00:00Z,1923.4811,Equipment Use,Human,5,Central Valley,74899.613,4.3,0,1.9388,0.3416,93.756
1980-08-01T00:00:00Z,1980-11-14T00:00:00Z,420.22726,Lightning,Natural,4,South Sierran,31366.273,30.1,52.9,1.5478,0.0197,1.0607
1980-08-02T00:00:00Z,NA,122.48782,Unknown / Unidentified,Other,1,North Coast and Montane,64191.163,0.5,0,0.8441,0.8942,676.0529
1980-08-02T00:00:00Z,NA,796.86884,Unknown / Unidentified,Other,1,North Coast and Montane,64191.163,12.2,32.4,6.9546,0.0553,6.6969
1980-08-03T00:00:00Z,NA,75.375679,Miscellaneous,Other,7,South Coast and Montane,42488.862,1.7,0,0.0311,1.069,569.409
1980-08-03T00:00:00Z,NA,141.59453,Unknown / Unidentified,Other,8,South Interior,103810.781,0.3,5.1,0.3054,0.3756,93.5206
1980-08-03T00:00:00Z,1980-08-03T00:00:00Z,43.648911,Equipment Use,Human,2,North Interior,43000.296,6.4,17.7,0.5677,0.074,5.4925
